方,fang1
芳,fang1
房,fang2
肪,fang2
防,fang2
彷,fang3
訪,fang3
放,fang4
啡,fei1
菲,fei1
非,fei1
飛,fei1
肥,fei2
廢,fei4
費,fei4
分,fen1
氛,fen1
紛,fen1
焚,fen2
粉,fen3
份,fen4
忿,fen4
憤,fen4
封,feng1
峯,feng1
峰,feng1
烽,feng1
瘋,feng1
蜂,feng1
豐,feng1
鋒,feng1
風,feng1
馮,feng2
諷,feng3
鳳,feng4
佛,fo2
彿,fo2
否,fou3
夫,fu1
伏,fu2
幅,fu2
扶,fu2
服,fu2
浮,fu2
福,fu2
芙,fu2
府,fu3
撫,fu3
腐,fu3
輔,fu3
付,fu4
傅,fu4
副,fu4
婦,fu4
富,fu4
復,fu4
父,fu4
腹,fu4
複,fu4
覆,fu4
負,fu4
赴,fu4
附,fu4
該,gai1
改,gai3
概,gai4
蓋,gai4
乾,gan1
咁,gan1
干,gan1
幹,gan1
杆,gan1
桿,gan1
甘,gan1
肝,gan1
感,gan3
敢,gan3
趕,gan3
剛,gang1
缸,gang1
崗,gang3
港,gang3
高,gao1
搞,gao3
稿,gao3
告,gao4
割,ge1
哥,ge1
歌,ge1
嘅,ge2
格,ge2
葛,ge2
隔,ge2
個,ge4
各,ge4
給,gei3
根,gen1
跟,gen1
更,geng1
梗,geng3
供,gong1
公,gong1
功,gong1
宮,gong1
工,gong1
攻,gong1
躬,gong1
共,gong4
勾,gou1
狗,gou3
夠,gou4
構,gou4
詬,gou4
購,gou4
估,gu1
姑,gu1
孤,gu1
菇,gu1
辜,gu1
古,gu3
股,gu3
谷,gu3
骨,gu3
鼓,gu3
僱,gu4
固,gu4
故,gu4
顧,gu4
刮,gua1
瓜,gua1
掛,gua4
乖,guai1
摑,guai1
怪,guai4
官,guan1
莞,guan1
觀,guan1
關,guan1
管,guan3
館,guan3
慣,guan4
光,guang1
廣,guang3
歸,gui1
規,gui1
龜,gui1
軌,gui3
鬼,gui3
櫃,gui4
貴,gui4
滾,gun3
邨,gun3
棍,gun4
郭,guo1
國,guo2
果,guo3
過,guo4
哈,ha1
孩,hai2
海,hai3
亥,hai4
害,hai4
函,han2
含,han2
寒,han2
韓,han2
喊,han3
憾,han4
捍,han4
撼,han4
漢,han4
焊,han4
航,hang2
毫,hao2
豪,hao2
好,hao3
皓,hao4
耗,hao4
號,hao4
喝,he1
何,he2
合,he2
和,he2
核,he2
河,he2
盒,he2
禾,he2
荷,he2
褐,he4
賀,he4
黑,hei1
痕,hen2
很,hen3
亨,heng1
恒,heng2
橫,heng2
衡,heng2
㷫,hing3
轟,hong1
紅,hong2
虹,hong2
鴻,hong2
候,hou4
后,hou4
後,hou4
乎,hu1
呼,hu1
忽,hu1
湖,hu2
胡,hu2
唬,hu3
互,hu4
戶,hu4
護,hu4
花,hua1
劃,hua2
滑,hua2
華,hua2
驊,hua2
化,hua4
畫,hua4
話,hua4
徊,huai2
懷,huai2
壞,huai4
歡,huan1
環,huan2
還,huan2
緩,huan3
幻,huan4
患,huan4
換,huan4
瘓,huan4
荒,huang1
惶,huang2
皇,huang2
黃,huang2
謊,huang3
徽,hui1
恢,hui1
揮,hui1
灰,hui1
輝,hui1
回,hui2
迴,hui2
毀,hui3
匯,hui4
惠,hui4
慧,hui4
會,hui4
繪,hui4
婚,hun1
昏,hun1
魂,hun2
混,hun4
活,huo2
火,huo3
惑,huo4
或,huo4
獲,huo4
禍,huo4
貨,huo4
霍,huo4
圾,ji1
基,ji1
幾,ji1
擊,ji1
機,ji1
激,ji1
磯,ji1
積,ji1
緝,ji1
肌,ji1
雞,ji1
飢,ji1
即,ji2
及,ji2
吉,ji2
急,ji2
極,ji2
籍,ji2
級,ji2
輯,ji2
集,ji2
己,ji3
擠,ji3
冀,ji4
劑,ji4
季,ji4
寂,ji4
忌,ji4
技,ji4
既,ji4
濟,ji4
祭,ji4
紀,ji4
繼,ji4
計,ji4
記,ji4
迹,ji4
際,ji4
佳,jia1
加,jia1
嘉,jia1
夾,jia1
家,jia1
舺,jia2
假,jia3
甲,jia3
賈,jia3
價,jia4
嫁,jia4
架,jia4
駕,jia4
兼,jian1
堅,jian1
尖,jian1
煎,jian1
監,jian1
